name,url,description,test_type_codes,test_type_names,remote_testing,adaptive_irt,job_levels,languages,duration
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software developme",,,True,False,Graduate,English (USA),7 minutes
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,,,True,False,General Population,English (USA),16 minutes
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes ",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wi",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA)",Variable
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of t",,,True,False,Mid-Professional,English (USA),20 minutes
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates u,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),45 minutes
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),60 minutes
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,,,True,False,"Professional Individual Contributor, Mid-Professional",English (USA),60 minutes
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript res",,,True,False,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager",English (USA),30 minutes
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates u,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),60 minutes
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),60 minutes
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Multi choice test that measures the candidate's basic understanding of Biology.,,,True,False,"Professional Individual Contributor, Graduate, Mid-Professional",English (USA),6 minutes
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environ",,,True,False,Entry-Level,English (USA),30 minutes
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",,,True,False,"Graduate, Professional Individual Contributor, Mid-Professional",English (USA),5 minutes
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),16 minutes
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business ,,,True,True,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),24 minutes
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business con,,,True,False,,English (USA),35 minutes
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloadin",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10 minutes
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,,,True,False,Entry-Level,English (USA),15 minutes
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that as,,,True,False,,English (USA),11 minutes
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurre",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,,,True,True,Entry-Level,"English (USA), English (Australia), English (Canada), English International, English (South Africa)",5 minutes
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the cust",,,True,False,,"French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish",20 minutes
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and b",,,True,False,,"French (Canada), Italian, French, Dutch, Spanish",30 minutes
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",,,True,False,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,,,True,False,Entry-Level,English (USA),4 minutes
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice n,,,True,False,"Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level",English (USA),5 minutes
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number f,,,True,False,"Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager",English (USA),5 minutes
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,,,True,False,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English (USA),3 minutes
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),14 minutes
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Consid",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage",,,True,False,Entry-Level,"Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish",10 minutes
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),3 minutes
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digit,,,True,False,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",,
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digita,,,True,False,"Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director",,
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,DSI v1.1 Interpretation Report,,,True,False,,"Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish",
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),14 minutes
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave e",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),18 minutes
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",,,True,False,Entry-Level,English (USA),0 minutes
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.c",,,True,False,"Director, Executive, Manager, Mid-Professional",,
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.c",,,True,False,"Director, Executive, Manager, Mid-Professional",,
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,"The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for th",,,True,False,Entry-Level,"English (USA), English International, French (Canada), German, Italian",19 minutes
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer ,,,True,False,Entry-Level,"Latin American Spanish, German, French, Chinese Simplified, Swedish",19 minutes
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of,,,True,False,Entry-Level,"English (USA), English International, French (Canada), Italian, Dutch",14 minutes
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the ,,,True,False,Entry-Level,"French (Canada), Italian, French, Chinese Simplified, Swedish",20 minutes
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based,,,True,False,Entry-Level,"German, Italian, Chinese Simplified, Finnish, Danish",20 minutes
